ID,num_models
835,7
451,7
1485,7
143,7
694,6
1179,6
1081,6
341,6
1371,6
713,6
963,6
1119,6
292,6
1217,6
742,6
1180,6
326,6
634,6
27,6
1366,5
234,5
555,5
687,5
845,5
982,5
230,5
101,5
1248,5
263,5
893,5
149,5
148,5
1361,5
576,5
488,5
1072,5
269,5
605,5
869,5
22,5
340,5
1447,5
909,5
601,5
287,5
1312,5
345,5
12,5
288,4
151,4
981,4
342,4
1487,4
283,4
174,4
1442,4
744,4
1194,4
164,4
1254,4
331,4
161,4
472,4
776,4
470,4
901,4
447,4
789,4
779,4
942,4
258,4
257,4
1209,4
1451,4
1409,4
372,4
847,4
379,4
914,4
1006,4
1203,4
437,4
1425,4
1231,4
800,4
1388,4
206,4
204,4
201,4
430,4
973,4
1176,4
380,4
891,4
1331,4
54,4
1032,4
702,4
92,4
701,4
696,4
1334,4
85,4
1044,4
556,4
1323,4
690,4
60,4
593,4
1504,4
595,4
1089,4
32,4
26,4
1525,4
1308,4
619,4
620,4
1103,4
1104,4
1532,4
621,4
1030,4
627,4
501,4
1023,4
115,4
113,4
1352,4
1499,4
125,4
120,4
493,4
108,4
1495,4
715,4
1502,4
469,3
509,3
1204,3
660,3
594,3
1208,3
705,3
1280,3
650,3
673,3
1365,3
350,3
1420,3
353,3
357,3
1414,3
1421,3
603,3
1289,3
1428,3
1189,3
1191,3
1357,3
327,3
494,3
1196,3
333,3
1429,3
1299,3
602,3
875,3
1301,3
750,3
607,3
497,3
606,3
1276,3
498,3
859,3
852,3
364,3
1243,3
757,3
547,3
461,3
459,3
419,3
458,3
420,3
421,3
423,3
1251,3
575,3
1337,3
1383,3
1382,3
533,3
530,3
773,3
445,3
1109,3
449,3
414,3
411,3
1235,3
404,3
367,3
710,3
850,3
571,3
684,3
378,3
685,3
566,3
563,3
1404,3
1401,3
1329,3
838,3
1259,3
1229,3
825,3
823,3
1332,3
403,3
1359,3
1342,3
989,3
137,3
165,3
163,3
993,3
1150,3
142,3
138,3
1008,3
984,3
1493,3
1149,3
1498,3
1014,3
119,3
118,3
987,3
983,3
1144,3
1471,3
962,3
965,3
971,3
197,3
972,3
1468,3
190,3
179,3
189,3
977,3
979,3
183,3
1473,3
980,3
1020,3
1031,3
954,3
1113,3
57,3
50,3
1521,3
1075,3
1087,3
37,3
31,3
61,3
29,3
1095,3
18,3
15,3
14,3
7,3
1122,3
63,3
96,3
1047,3
1035,3
94,3
1138,3
90,3
86,3
1045,3
1131,3
65,3
1052,3
1055,3
72,3
69,3
1127,3
1061,3
1466,3
631,3
1166,3
1452,3
231,3
233,3
912,3
246,3
910,3
267,3
299,3
302,3
304,3
294,3
264,3
227,3
897,3
1175,3
270,3
907,3
1449,3
223,3
291,3
1164,3
312,3
934,3
1458,3
1174,3
1454,3
250,3
1053,2
908,2
1057,2
1129,2
688,2
956,2
1271,2
692,2
1270,2
1272,2
1048,2
695,2
1136,2
1037,2
698,2
863,2
920,2
703,2
861,2
906,2
876,2
1197,2
639,2
900,2
1097,2
1100,2
1290,2
642,2
1292,2
637,2
1067,2
1102,2
636,2
896,2
886,2
1182,2
1105,2
881,2
1288,2
1080,2
1283,2
1077,2
902,2
878,2
1121,2
903,2
661,2
1281,2
665,2
667,2
921,2
675,2
1277,2
677,2
704,2
714,2
1029,2
707,2
832,2
777,2
978,2
775,2
837,2
1168,2
770,2
769,2
943,2
840,2
1250,2
1213,2
