model,LLM_Level_Final,n,cot_acc,nocot_acc,delta_pp
InternVL2_5-8B,1,224,0.34375,0.3125,3.125
InternVL2_5-8B,2,743,0.3876177658142665,0.3795423956931359,0.8075370121130576
InternVL2_5-8B,3,403,0.456575682382134,0.4044665012406948,5.21091811414392
InternVL3-14B,1,221,0.38009049773755654,0.334841628959276,4.524886877828055
InternVL3-14B,2,738,0.4159891598915989,0.38346883468834686,3.252032520325204
InternVL3-14B,3,407,0.5356265356265356,0.4619164619164619,7.371007371007371
InternVL3-38B,1,226,0.39823008849557523,0.36283185840707965,3.5398230088495577
InternVL3-38B,2,745,0.43087248322147653,0.4080536912751678,2.281879194630876
InternVL3-38B,3,408,0.5367647058823529,0.49264705882352944,4.411764705882348
InternVL3-78B,1,226,0.40707964601769914,0.3938053097345133,1.3274336283185861
InternVL3-78B,2,745,0.4228187919463087,0.3959731543624161,2.684563758389263
InternVL3-78B,3,408,0.571078431372549,0.4877450980392157,8.333333333333332
InternVL3-8B,1,226,0.34513274336283184,0.3274336283185841,1.769911504424776
InternVL3-8B,2,745,0.4040268456375839,0.38523489932885907,1.8791946308724827
InternVL3-8B,3,408,0.4877450980392157,0.37745098039215685,11.029411764705882
InternVL3_5-8B,1,225,0.3422222222222222,0.3288888888888889,1.3333333333333308
InternVL3_5-8B,2,745,0.3946308724832215,0.3302013422818792,6.442953020134229
InternVL3_5-8B,3,408,0.4534313725490196,0.4117647058823529,4.166666666666669
LLaVA-NeXT-7B,1,182,0.26373626373626374,0.27472527472527475,-1.0989010989011005
LLaVA-NeXT-7B,2,629,0.23370429252782193,0.23370429252782193,0.0
LLaVA-NeXT-7B,3,343,0.24198250728862974,0.24198250728862974,0.0
Qwen2.5-VL-7B,1,223,0.336322869955157,0.30493273542600896,3.139013452914802
Qwen2.5-VL-7B,2,741,0.3225371120107962,0.349527665317139,-2.6990553306342813
Qwen2.5-VL-7B,3,403,0.38461538461538464,0.3573200992555831,2.7295285359801524
Qwen3-VL-8B,1,210,0.319047619047619,0.2857142857142857,3.3333333333333326
Qwen3-VL-8B,2,691,0.28364688856729375,0.2894356005788712,-0.5788712011577435
Qwen3-VL-8B,3,346,0.3959537572254335,0.3786127167630058,1.7341040462427737
gemini-3-flash-preview,1,226,0.4911504424778761,0.504424778761062,-1.3274336283185861
gemini-3-flash-preview,2,743,0.522207267833109,0.5208613728129206,0.1345895020188448
gemini-3-flash-preview,3,407,0.6584766584766585,0.683046683046683,-2.457002457002455
gemini-3.1-pro-preview,1,226,0.49557522123893805,0.5132743362831859,-1.7699115044247815
gemini-3.1-pro-preview,2,744,0.5793010752688172,0.5443548387096774,3.4946236559139865
gemini-3.1-pro-preview,3,408,0.7058823529411765,0.6813725490196079,2.450980392156865
