model,scale_b,mode,level,n,acc
InternVL3-8B,8,CoT,1,226,0.34513274336283184
InternVL3-8B,8,CoT,2,745,0.4040268456375839
InternVL3-8B,8,CoT,3,408,0.4877450980392157
InternVL3-14B,14,CoT,1,226,0.37168141592920356
InternVL3-14B,14,CoT,2,745,0.4120805369127517
InternVL3-14B,14,CoT,3,408,0.5343137254901961
InternVL3-38B,38,CoT,1,226,0.39823008849557523
InternVL3-38B,38,CoT,2,745,0.43087248322147653
InternVL3-38B,38,CoT,3,408,0.5367647058823529
InternVL3-78B,78,CoT,1,226,0.40707964601769914
InternVL3-78B,78,CoT,2,745,0.4228187919463087
InternVL3-78B,78,CoT,3,408,0.571078431372549
