model,scale_b,mode,level,n,acc
InternVL3-8B,8,NoCoT,1,226,0.3274336283185841
InternVL3-8B,8,NoCoT,2,745,0.38523489932885907
InternVL3-8B,8,NoCoT,3,408,0.37745098039215685
InternVL3-14B,14,NoCoT,1,226,0.3407079646017699
InternVL3-14B,14,NoCoT,2,745,0.3825503355704698
InternVL3-14B,14,NoCoT,3,408,0.4632352941176471
InternVL3-38B,38,NoCoT,1,226,0.36283185840707965
InternVL3-38B,38,NoCoT,2,745,0.4080536912751678
InternVL3-38B,38,NoCoT,3,408,0.49264705882352944
InternVL3-78B,78,NoCoT,1,226,0.3938053097345133
InternVL3-78B,78,NoCoT,2,745,0.3959731543624161
InternVL3-78B,78,NoCoT,3,408,0.4877450980392157
