level,aoe,n,correct,acc,model,mode
1,action,47,14,0.2978723404255319,InternVL2_5-8B,CoT
1,event,23,11,0.4782608695652174,InternVL2_5-8B,CoT
1,object,154,52,0.33766233766233766,InternVL2_5-8B,CoT
2,action,215,78,0.3627906976744186,InternVL2_5-8B,CoT
2,event,219,90,0.410958904109589,InternVL2_5-8B,CoT
2,object,309,120,0.3883495145631068,InternVL2_5-8B,CoT
3,action,80,27,0.3375,InternVL2_5-8B,CoT
3,event,147,72,0.4897959183673469,InternVL2_5-8B,CoT
3,object,176,85,0.48295454545454547,InternVL2_5-8B,CoT
1,action,47,13,0.2765957446808511,InternVL2_5-8B,NoCoT
1,event,23,6,0.2608695652173913,InternVL2_5-8B,NoCoT
1,object,156,51,0.3269230769230769,InternVL2_5-8B,NoCoT
2,action,216,77,0.35648148148148145,InternVL2_5-8B,NoCoT
2,event,219,87,0.3972602739726027,InternVL2_5-8B,NoCoT
2,object,310,119,0.38387096774193546,InternVL2_5-8B,NoCoT
3,action,80,29,0.3625,InternVL2_5-8B,NoCoT
3,event,147,67,0.4557823129251701,InternVL2_5-8B,NoCoT
3,object,181,70,0.3867403314917127,InternVL2_5-8B,NoCoT
1,action,47,21,0.44680851063829785,InternVL3-8B,CoT
1,event,23,9,0.391304347826087,InternVL3-8B,CoT
1,object,156,48,0.3076923076923077,InternVL3-8B,CoT
2,action,216,77,0.35648148148148145,InternVL3-8B,CoT
2,event,219,98,0.4474885844748858,InternVL3-8B,CoT
2,object,310,126,0.4064516129032258,InternVL3-8B,CoT
3,action,80,26,0.325,InternVL3-8B,CoT
3,event,147,82,0.5578231292517006,InternVL3-8B,CoT
3,object,181,91,0.5027624309392266,InternVL3-8B,CoT
1,action,47,19,0.40425531914893614,InternVL3-8B,NoCoT
1,event,23,7,0.30434782608695654,InternVL3-8B,NoCoT
1,object,156,48,0.3076923076923077,InternVL3-8B,NoCoT
2,action,216,77,0.35648148148148145,InternVL3-8B,NoCoT
2,event,219,89,0.4063926940639269,InternVL3-8B,NoCoT
2,object,310,121,0.3903225806451613,InternVL3-8B,NoCoT
3,action,80,29,0.3625,InternVL3-8B,NoCoT
3,event,147,62,0.4217687074829932,InternVL3-8B,NoCoT
3,object,181,63,0.34806629834254144,InternVL3-8B,NoCoT
1,action,47,16,0.3404255319148936,InternVL3_5-8B,CoT
1,event,23,9,0.391304347826087,InternVL3_5-8B,CoT
1,object,155,52,0.33548387096774196,InternVL3_5-8B,CoT
2,action,216,73,0.33796296296296297,InternVL3_5-8B,CoT
2,event,219,96,0.4383561643835616,InternVL3_5-8B,CoT
2,object,310,125,0.4032258064516129,InternVL3_5-8B,CoT
3,action,80,29,0.3625,InternVL3_5-8B,CoT
3,event,147,82,0.5578231292517006,InternVL3_5-8B,CoT
3,object,181,74,0.4088397790055249,InternVL3_5-8B,CoT
1,action,47,18,0.3829787234042553,InternVL3_5-8B,NoCoT
1,event,23,5,0.21739130434782608,InternVL3_5-8B,NoCoT
1,object,156,51,0.3269230769230769,InternVL3_5-8B,NoCoT
2,action,216,70,0.32407407407407407,InternVL3_5-8B,NoCoT
2,event,219,75,0.3424657534246575,InternVL3_5-8B,NoCoT
2,object,310,101,0.3258064516129032,InternVL3_5-8B,NoCoT
3,action,80,27,0.3375,InternVL3_5-8B,NoCoT
3,event,147,59,0.4013605442176871,InternVL3_5-8B,NoCoT
3,object,181,82,0.4530386740331492,InternVL3_5-8B,NoCoT
1,action,37,10,0.2702702702702703,LLaVA-NeXT-7B,CoT
1,event,17,5,0.29411764705882354,LLaVA-NeXT-7B,CoT
1,object,128,33,0.2578125,LLaVA-NeXT-7B,CoT
2,action,155,34,0.21935483870967742,LLaVA-NeXT-7B,CoT
2,event,196,49,0.25,LLaVA-NeXT-7B,CoT
2,object,281,64,0.2277580071174377,LLaVA-NeXT-7B,CoT
3,action,60,13,0.21666666666666667,LLaVA-NeXT-7B,CoT
3,event,135,33,0.24444444444444444,LLaVA-NeXT-7B,CoT
3,object,151,38,0.25165562913907286,LLaVA-NeXT-7B,CoT
1,action,47,13,0.2765957446808511,LLaVA-NeXT-7B,NoCoT
1,event,23,5,0.21739130434782608,LLaVA-NeXT-7B,NoCoT
1,object,156,44,0.28205128205128205,LLaVA-NeXT-7B,NoCoT
2,action,214,44,0.205607476635514,LLaVA-NeXT-7B,NoCoT
2,event,218,48,0.22018348623853212,LLaVA-NeXT-7B,NoCoT
2,object,310,79,0.25483870967741934,LLaVA-NeXT-7B,NoCoT
3,action,80,17,0.2125,LLaVA-NeXT-7B,NoCoT
3,event,145,38,0.2620689655172414,LLaVA-NeXT-7B,NoCoT
3,object,180,42,0.23333333333333334,LLaVA-NeXT-7B,NoCoT
1,action,47,19,0.40425531914893614,Qwen2.5-VL-7B,CoT
1,event,23,9,0.391304347826087,Qwen2.5-VL-7B,CoT
1,object,153,47,0.30718954248366015,Qwen2.5-VL-7B,CoT
2,action,213,54,0.2535211267605634,Qwen2.5-VL-7B,CoT
2,event,219,68,0.3105022831050228,Qwen2.5-VL-7B,CoT
2,object,309,117,0.3786407766990291,Qwen2.5-VL-7B,CoT
3,action,80,22,0.275,Qwen2.5-VL-7B,CoT
3,event,143,64,0.44755244755244755,Qwen2.5-VL-7B,CoT
3,object,180,69,0.38333333333333336,Qwen2.5-VL-7B,CoT
1,action,47,16,0.3404255319148936,Qwen2.5-VL-7B,NoCoT
1,event,23,8,0.34782608695652173,Qwen2.5-VL-7B,NoCoT
1,object,156,44,0.28205128205128205,Qwen2.5-VL-7B,NoCoT
2,action,216,70,0.32407407407407407,Qwen2.5-VL-7B,NoCoT
2,event,219,85,0.3881278538812785,Qwen2.5-VL-7B,NoCoT
2,object,310,105,0.3387096774193548,Qwen2.5-VL-7B,NoCoT
3,action,80,30,0.375,Qwen2.5-VL-7B,NoCoT
3,event,147,57,0.3877551020408163,Qwen2.5-VL-7B,NoCoT
3,object,181,60,0.3314917127071823,Qwen2.5-VL-7B,NoCoT
1,action,41,15,0.36585365853658536,Qwen3-VL-8B,CoT
1,event,22,8,0.36363636363636365,Qwen3-VL-8B,CoT
1,object,147,44,0.29931972789115646,Qwen3-VL-8B,CoT
2,action,200,51,0.255,Qwen3-VL-8B,CoT
2,event,202,66,0.32673267326732675,Qwen3-VL-8B,CoT
2,object,289,79,0.27335640138408307,Qwen3-VL-8B,CoT
3,action,68,23,0.3382352941176471,Qwen3-VL-8B,CoT
3,event,118,47,0.3983050847457627,Qwen3-VL-8B,CoT
3,object,160,67,0.41875,Qwen3-VL-8B,CoT
1,action,47,20,0.425531914893617,Qwen3-VL-8B,NoCoT
1,event,23,7,0.30434782608695654,Qwen3-VL-8B,NoCoT
1,object,156,39,0.25,Qwen3-VL-8B,NoCoT
2,action,216,62,0.28703703703703703,Qwen3-VL-8B,NoCoT
2,event,219,73,0.3333333333333333,Qwen3-VL-8B,NoCoT
2,object,310,83,0.267741935483871,Qwen3-VL-8B,NoCoT
3,action,80,32,0.4,Qwen3-VL-8B,NoCoT
3,event,147,53,0.36054421768707484,Qwen3-VL-8B,NoCoT
3,object,181,68,0.3756906077348066,Qwen3-VL-8B,NoCoT
1,action,47,16,0.3404255319148936,InternVL3-14B,CoT
1,event,23,12,0.5217391304347826,InternVL3-14B,CoT
1,object,151,56,0.3708609271523179,InternVL3-14B,CoT
2,action,216,71,0.3287037037037037,InternVL3-14B,CoT
2,event,218,101,0.463302752293578,InternVL3-14B,CoT
2,object,304,135,0.4440789473684211,InternVL3-14B,CoT
3,action,80,33,0.4125,InternVL3-14B,CoT
3,event,146,87,0.5958904109589042,InternVL3-14B,CoT
3,object,181,98,0.5414364640883977,InternVL3-14B,CoT
1,action,47,13,0.2765957446808511,InternVL3-14B,NoCoT
1,event,23,7,0.30434782608695654,InternVL3-14B,NoCoT
1,object,156,57,0.36538461538461536,InternVL3-14B,NoCoT
2,action,216,70,0.32407407407407407,InternVL3-14B,NoCoT
2,event,219,95,0.4337899543378995,InternVL3-14B,NoCoT
2,object,310,120,0.3870967741935484,InternVL3-14B,NoCoT
3,action,80,27,0.3375,InternVL3-14B,NoCoT
3,event,147,81,0.5510204081632653,InternVL3-14B,NoCoT
3,object,181,81,0.44751381215469616,InternVL3-14B,NoCoT
1,action,47,18,0.3829787234042553,InternVL3-38B,CoT
1,event,23,11,0.4782608695652174,InternVL3-38B,CoT
1,object,156,61,0.391025641025641,InternVL3-38B,CoT
2,action,216,74,0.3425925925925926,InternVL3-38B,CoT
2,event,219,114,0.5205479452054794,InternVL3-38B,CoT
2,object,310,133,0.4290322580645161,InternVL3-38B,CoT
3,action,80,30,0.375,InternVL3-38B,CoT
3,event,147,83,0.564625850340136,InternVL3-38B,CoT
3,object,181,106,0.585635359116022,InternVL3-38B,CoT
1,action,47,17,0.3617021276595745,InternVL3-38B,NoCoT
1,event,23,13,0.5652173913043478,InternVL3-38B,NoCoT
1,object,156,52,0.3333333333333333,InternVL3-38B,NoCoT
2,action,216,70,0.32407407407407407,InternVL3-38B,NoCoT
2,event,219,97,0.4429223744292237,InternVL3-38B,NoCoT
2,object,310,137,0.44193548387096776,InternVL3-38B,NoCoT
3,action,80,27,0.3375,InternVL3-38B,NoCoT
3,event,147,82,0.5578231292517006,InternVL3-38B,NoCoT
3,object,181,92,0.5082872928176796,InternVL3-38B,NoCoT
1,action,47,19,0.40425531914893614,InternVL3-78B,CoT
1,event,23,10,0.43478260869565216,InternVL3-78B,CoT
1,object,156,63,0.40384615384615385,InternVL3-78B,CoT
2,action,216,75,0.3472222222222222,InternVL3-78B,CoT
2,event,219,99,0.4520547945205479,InternVL3-78B,CoT
2,object,310,141,0.45483870967741935,InternVL3-78B,CoT
3,action,80,31,0.3875,InternVL3-78B,CoT
3,event,147,95,0.6462585034013606,InternVL3-78B,CoT
3,object,181,107,0.5911602209944752,InternVL3-78B,CoT
1,action,47,15,0.3191489361702128,InternVL3-78B,NoCoT
