model,mode,n,correct,acc
InternVL2_5-8B,CoT,1370,549,0.40072992700729926
InternVL2_5-8B,NoCoT,1379,519,0.3763596809282089
InternVL3-8B,CoT,1379,578,0.4191443074691806
InternVL3-8B,NoCoT,1379,515,0.3734590282813633
InternVL3_5-8B,CoT,1378,556,0.4034833091436865
InternVL3_5-8B,NoCoT,1379,488,0.3538796229151559
LLaVA-NeXT-7B,CoT,1160,279,0.24051724137931035
LLaVA-NeXT-7B,NoCoT,1373,330,0.2403495994173343
Qwen2.5-VL-7B,CoT,1367,469,0.34308705193855155
Qwen2.5-VL-7B,NoCoT,1379,475,0.34445250181290793
Qwen3-VL-8B,CoT,1247,400,0.32076984763432237
Qwen3-VL-8B,NoCoT,1379,437,0.31689630166787525
InternVL3-14B,CoT,1366,609,0.4458272327964861
InternVL3-14B,NoCoT,1379,551,0.3995649021029732
InternVL3-38B,CoT,1379,630,0.45685279187817257
InternVL3-38B,NoCoT,1379,587,0.425670775924583
InternVL3-78B,CoT,1379,640,0.46410442349528647
InternVL3-78B,NoCoT,1379,583,0.4227701232777375
gemini-3-flash-preview,CoT,1376,767,0.5574127906976745
gemini-3-flash-preview,NoCoT,1378,780,0.5660377358490566
gemini-3.1-pro-preview,CoT,1378,831,0.6030478955007257
gemini-3.1-pro-preview,NoCoT,1378,799,0.5798258345428157
